id ,name,primary_type,secondary_type,hp,attack,defense,special_attack,special_defense,speed,evolution,is_baby,is_legendary,is_mythical,is_mega,generation,species
10101,Sandshrew-Alola,Ice,Steel,50,75,90,10,35,40,['Sandslash'],False,False,False,False,generation-i,Sandshrew
28,Sandslash,Ground,,75,100,110,45,55,65,[],False,False,False,False,generation-i,Sandslash
10102,Sandslash-Alola,Ice,Steel,75,100,120,25,65,65,[],False,False,False,False,generation-i,Sandslash
29,Nidoran-F,Poison,,55,47,52,40,40,41,['Nidorina'],False,False,False,False,generation-i,Nidoran-F
30,Nidorina,Poison,,70,62,67,55,55,56,['Nidoqueen'],False,False,False,False,generation-i,Nidorina
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,[],False,False,False,False,generation-i,Nidoqueen
32,Nidoran-M,Poison,,46,57,40,40,40,50,['Nidorino'],False,False,False,False,generation-i,Nidoran-M
33,Nidorino,Poison,,61,72,57,55,55,65,['Nidoking'],False,False,False,False,generation-i,Nidorino
34,Nidoking,Poison,Ground,81,102,77,85,75,85,[],False,False,False,False,generation-i,Nidoking
35,Clefairy,Fairy,,70,45,48,60,65,35,['Clefable'],False,False,False,False,generation-i,Clefairy
36,Clefable,Fairy,,95,70,73,95,90,60,[],False,False,False,False,generation-i,Clefable
10278,Clefable-Mega,Fairy,Flying,95,80,93,135,110,70,[],False,False,False,True,generation-i,Clefable
37,Vulpix,Fire,,38,41,40,50,65,65,['Ninetales'],False,False,False,False,generation-i,Vulpix
10103,Vulpix-Alola,Ice,,38,41,40,50,65,65,['Ninetales'],False,False,False,False,generation-i,Vulpix
38,Ninetales,Fire,,73,76,75,81,100,100,[],False,False,False,False,generation-i,Ninetales
10104,Ninetales-Alola,Ice,Fairy,73,67,75,81,100,109,[],False,False,False,False,generation-i,Ninetales
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,['Wigglytuff'],False,False,False,False,generation-i,Jigglypuff
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,[],False,False,False,False,generation-i,Wigglytuff
41,Zubat,Poison,Flying,40,45,35,30,40,55,['Golbat'],False,False,False,False,generation-i,Zubat
42,Golbat,Poison,Flying,75,80,70,65,75,90,['Crobat'],False,False,False,False,generation-i,Golbat
43,Oddish,Grass,Poison,45,50,55,75,65,30,['Gloom'],False,False,False,False,generation-i,Oddish
44,Gloom,Grass,Poison,60,65,70,85,75,40,"['Vileplume', 'Bellossom']",False,False,False,False,generation-i,Gloom
45,Vileplume,Grass,Poison,75,80,85,110,90,50,[],False,False,False,False,generation-i,Vileplume
46,Paras,Bug,Grass,35,70,55,45,55,25,['Parasect'],False,False,False,False,generation-i,Paras
47,Parasect,Bug,Grass,60,95,80,60,80,30,[],False,False,False,False,generation-i,Parasect
48,Venonat,Bug,Poison,60,55,50,40,55,45,['Venomoth'],False,False,False,False,generation-i,Venonat
49,Venomoth,Bug,Poison,70,65,60,90,75,90,[],False,False,False,False,generation-i,Venomoth
50,Diglett,Ground,,10,55,25,35,45,95,['Dugtrio'],False,False,False,False,generation-i,Diglett
10105,Diglett-Alola,Ground,Steel,10,55,30,35,45,90,['Dugtrio'],False,False,False,False,generation-i,Diglett
51,Dugtrio,Ground,,35,100,50,50,70,120,[],False,False,False,False,generation-i,Dugtrio
10106,Dugtrio-Alola,Ground,Steel,35,100,60,50,70,110,[],False,False,False,False,generation-i,Dugtrio
52,Meowth,Normal,,40,45,35,40,40,90,"['Persian', 'Perrserker']",False,False,False,False,generation-i,Meowth
10107,Meowth-Alola,Dark,,40,35,35,50,40,90,"['Persian', 'Perrserker']",False,False,False,False,generation-i,Meowth
10161,Meowth-Galar,Steel,,50,65,55,40,40,40,"['Persian', 'Perrserker']",False,False,False,False,generation-i,Meowth
10200,Meowth-Gmax,Normal,,40,45,35,40,40,90,"['Persian', 'Perrserker']",False,False,False,False,generation-i,Meowth
53,Persian,Normal,,65,70,60,65,65,115,[],False,False,False,False,generation-i,Persian
10108,Persian-Alola,Dark,,65,60,60,75,65,115,[],False,False,False,False,generation-i,Persian
54,Psyduck,Water,,50,52,48,65,50,55,['Golduck'],False,False,False,False,generation-i,Psyduck
55,Golduck,Water,,80,82,78,95,80,85,[],False,False,False,False,generation-i,Golduck
56,Mankey,Fighting,,40,80,35,35,45,70,['Primeape'],False,False,False,False,generation-i,Mankey
57,Primeape,Fighting,,65,105,60,60,70,95,['Annihilape'],False,False,False,False,generation-i,Primeape
58,Growlithe,Fire,,55,70,45,70,50,60,['Arcanine'],False,False,False,False,generation-i,Growlithe
10229,Growlithe-Hisui,Fire,Rock,60,75,45,65,50,55,['Arcanine'],False,False,False,False,generation-i,Growlithe
59,Arcanine,Fire,,90,110,80,100,80,95,[],False,False,False,False,generation-i,Arcanine
10230,Arcanine-Hisui,Fire,Rock,95,115,80,95,80,90,[],False,False,False,False,generation-i,Arcanine
60,Poliwag,Water,,40,50,40,40,40,90,['Poliwhirl'],False,False,False,False,generation-i,Poliwag
61,Poliwhirl,Water,,65,65,65,50,50,90,"['Poliwrath', 'Politoed']",False,False,False,False,generation-i,Poliwhirl
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,[],False,False,False,False,generation-i,Poliwrath
63,Abra,Psychic,,25,20,15,105,55,90,['Kadabra'],False,False,False,False,generation-i,Abra
64,Kadabra,Psychic,,40,35,30,120,70,105,['Alakazam'],False,False,False,False,generation-i,Kadabra
65,Alakazam,Psychic,,55,50,45,135,95,120,[],False,False,False,False,generation-i,Alakazam
10037,Alakazam-Mega,Psychic,,55,50,65,175,105,150,[],False,False,False,True,generation-i,Alakazam
66,Machop,Fighting,,70,80,50,35,35,35,['Machoke'],False,False,False,False,generation-i,Machop
67,Machoke,Fighting,,80,100,70,50,60,45,['Machamp'],False,False,False,False,generation-i,Machoke
68,Machamp,Fighting,,90,130,80,65,85,55,[],False,False,False,False,generation-i,Machamp
10201,Machamp-Gmax,Fighting,,90,130,80,65,85,55,[],False,False,False,False,generation-i,Machamp
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,['Weepinbell'],False,False,False,False,generation-i,Bellsprout
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,['Victreebel'],False,False,False,False,generation-i,Weepinbell
71,Victreebel,Grass,Poison,80,105,65,100,70,70,[],False,False,False,False,generation-i,Victreebel
10279,Victreebel-Mega,Grass,Poison,80,125,85,135,95,70,[],False,False,False,True,generation-i,Victreebel
72,Tentacool,Water,Poison,40,40,35,50,100,70,['Tentacruel'],False,False,False,False,generation-i,Tentacool
73,Tentacruel,Water,Poison,80,70,65,80,120,100,[],False,False,False,False,generation-i,Tentacruel
74,Geodude,Rock,Ground,40,80,100,30,30,20,['Graveler'],False,False,False,False,generation-i,Geodude
10109,Geodude-Alola,Rock,Electric,40,80,100,30,30,20,['Graveler'],False,False,False,False,generation-i,Geodude
75,Graveler,Rock,Ground,55,95,115,45,45,35,['Golem'],False,False,False,False,generation-i,Graveler
10110,Graveler-Alola,Rock,Electric,55,95,115,45,45,35,['Golem'],False,False,False,False,generation-i,Graveler
76,Golem,Rock,Ground,80,120,130,55,65,45,[],False,False,False,False,generation-i,Golem
10111,Golem-Alola,Rock,Electric,80,120,130,55,65,45,[],False,False,False,False,generation-i,Golem
77,Ponyta,Fire,,50,85,55,65,65,90,['Rapidash'],False,False,False,False,generation-i,Ponyta
10162,Ponyta-Galar,Psychic,,50,85,55,65,65,90,['Rapidash'],False,False,False,False,generation-i,Ponyta
78,Rapidash,Fire,,65,100,70,80,80,105,[],False,False,False,False,generation-i,Rapidash
10163,Rapidash-Galar,Psychic,Fairy,65,100,70,80,80,105,[],False,False,False,False,generation-i,Rapidash
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,"['Slowbro', 'Slowking']",False,False,False,False,generation-i,Slowpoke
10164,Slowpoke-Galar,Psychic,,90,65,65,40,40,15,"['Slowbro', 'Slowking']",False,False,False,False,generation-i,Slowpoke
80,Slowbro,Water,Psychic,95,75,110,100,80,30,[],False,False,False,False,generation-i,Slowbro
10071,Slowbro-Mega,Water,Psychic,95,75,180,130,80,30,[],False,False,False,True,generation-i,Slowbro
10165,Slowbro-Galar,Poison,Psychic,95,100,95,100,70,30,[],False,False,False,False,generation-i,Slowbro
81,Magnemite,Electric,Steel,25,35,70,95,55,45,['Magneton'],False,False,False,False,generation-i,Magnemite
82,Magneton,Electric,Steel,50,60,95,120,70,70,['Magnezone'],False,False,False,False,generation-i,Magneton
83,Farfetchd,Normal,Flying,52,90,55,58,62,60,['Sirfetchd'],False,False,False,False,generation-i,Farfetchd
10166,Farfetchd-Galar,Fighting,,52,95,55,58,62,55,['Sirfetchd'],False,False,False,False,generation-i,Farfetchd
84,Doduo,Normal,Flying,35,85,45,35,35,75,['Dodrio'],False,False,False,False,generation-i,Doduo
85,Dodrio,Normal,Flying,60,110,70,60,60,110,[],False,False,False,False,generation-i,Dodrio
86,Seel,Water,,65,45,55,45,70,45,['Dewgong'],False,False,False,False,generation-i,Seel
87,Dewgong,Water,Ice,90,70,80,70,95,70,[],False,False,False,False,generation-i,Dewgong
88,Grimer,Poison,,80,80,50,40,50,25,['Muk'],False,False,False,False,generation-i,Grimer
10112,Grimer-Alola,Poison,Dark,80,80,50,40,50,25,['Muk'],False,False,False,False,generation-i,Grimer
89,Muk,Poison,,105,105,75,65,100,50,[],False,False,False,False,generation-i,Muk
10113,Muk-Alola,Poison,Dark,105,105,75,65,100,50,[],False,False,False,False,generation-i,Muk
90,Shellder,Water,,30,65,100,45,25,40,['Cloyster'],False,False,False,False,generation-i,Shellder
91,Cloyster,Water,Ice,50,95,180,85,45,70,[],False,False,False,False,generation-i,Cloyster
92,Gastly,Ghost,Poison,30,35,30,100,35,80,['Haunter'],False,False,False,False,generation-i,Gastly
93,Haunter,Ghost,Poison,45,50,45,115,55,95,['Gengar'],False,False,False,False,generation-i,Haunter
94,Gengar,Ghost,Poison,60,65,60,130,75,110,[],False,False,False,False,generation-i,Gengar
10038,Gengar-Mega,Ghost,Poison,60,65,80,170,95,130,[],False,False,False,True,generation-i,Gengar
10202,Gengar-Gmax,Ghost,Poison,60,65,60,130,75,110,[],False,False,False,False,generation-i,Gengar
95,Onix,Rock,Ground,35,45,160,30,45,70,['Steelix'],False,False,False,False,generation-i,Onix
96,Drowzee,Psychic,,60,48,45,43,90,42,['Hypno'],False,False,False,False,generation-i,Drowzee
97,Hypno,Psychic,,85,73,70,73,115,67,[],False,False,False,False,generation-i,Hypno
98,Krabby,Water,,30,105,90,25,25,50,['Kingler'],False,False,False,False,generation-i,Krabby
99,Kingler,Water,,55,130,115,50,50,75,[],False,False,False,False,generation-i,Kingler
10203,Kingler-Gmax,Water,,55,130,115,50,50,75,[],False,False,False,False,generation-i,Kingler
100,Voltorb,Electric,,40,30,50,55,55,100,['Electrode'],False,False,False,False,generation-i,Voltorb
10231,Voltorb-Hisui,Electric,Grass,40,30,50,55,55,100,['Electrode'],False,False,False,False,generation-i,Voltorb
101,Electrode,Electric,,60,50,70,80,80,150,[],False,False,False,False,generation-i,Electrode
10232,Electrode-Hisui,Electric,Grass,60,50,70,80,80,150,[],False,False,False,False,generation-i,Electrode
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,['Exeggutor'],False,False,False,False,generation-i,Exeggcute
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,[],False,False,False,False,generation-i,Exeggutor
10114,Exeggutor-Alola,Grass,Dragon,95,105,85,125,75,45,[],False,False,False,False,generation-i,Exeggutor
104,Cubone,Ground,,50,50,95,40,50,35,['Marowak'],False,False,False,False,generation-i,Cubone
105,Marowak,Ground,,60,80,110,50,80,45,[],False,False,False,False,generation-i,Marowak
10115,Marowak-Alola,Fire,Ghost,60,80,110,50,80,45,[],False,False,False,False,generation-i,Marowak
10149,Marowak-Totem,Fire,Ghost,60,80,110,50,80,45,[],False,False,False,False,generation-i,Marowak
106,Hitmonlee,Fighting,,50,120,53,35,110,87,[],False,False,False,False,generation-i,Hitmonlee
107,Hitmonchan,Fighting,,50,105,79,35,110,76,[],False,False,False,False,generation-i,Hitmonchan
108,Lickitung,Normal,,90,55,75,60,75,30,['Lickilicky'],False,False,False,False,generation-i,Lickitung
109,Koffing,Poison,,40,65,95,60,45,35,['Weezing'],False,False,False,False,generation-i,Koffing
110,Weezing,Poison,,65,90,120,85,70,60,[],False,False,False,False,generation-i,Weezing
10167,Weezing-Galar,Poison,Fairy,65,90,120,85,70,60,[],False,False,False,False,generation-i,Weezing
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,['Rhydon'],False,False,False,False,generation-i,Rhyhorn
112,Rhydon,Ground,Rock,105,130,120,45,45,40,['Rhyperior'],False,False,False,False,generation-i,Rhydon
113,Chansey,Normal,,250,5,5,35,105,50,['Blissey'],False,False,False,False,generation-i,Chansey
114,Tangela,Grass,,65,55,115,100,40,60,['Tangrowth'],False,False,False,False,generation-i,Tangela
115,Kangaskhan,Normal,,105,95,80,40,80,90,[],False,False,False,False,generation-i,Kangaskhan
10039,Kangaskhan-Mega,Normal,,105,125,100,60,100,100,[],False,False,False,True,generation-i,Kangaskhan
116,Horsea,Water,,30,40,70,70,25,60,['Seadra'],False,False,False,False,generation-i,Horsea
117,Seadra,Water,,55,65,95,95,45,85,['Kingdra'],False,False,False,False,generation-i,Seadra
118,Goldeen,Water,,45,67,60,35,50,63,['Seaking'],False,False,False,False,generation-i,Goldeen
119,Seaking,Water,,80,92,65,65,80,68,[],False,False,False,False,generation-i,Seaking
120,Staryu,Water,,30,45,55,70,55,85,['Starmie'],False,False,False,False,generation-i,Staryu
121,Starmie,Water,Psychic,60,75,85,100,85,115,[],False,False,False,False,generation-i,Starmie
10280,Starmie-Mega,Water,Psychic,60,140,105,130,105,120,[],False,False,False,True,generation-i,Starmie
122,Mr-Mime,Psychic,Fairy,40,45,65,100,120,90,['Mr-Rime'],False,False,False,False,generation-i,Mr-Mime
10168,Mr-Mime-Galar,Ice,Psychic,50,65,65,90,90,100,['Mr-Rime'],False,False,False,False,generation-i,Mr-Mime
123,Scyther,Bug,Flying,70,110,80,55,80,105,"['Scizor', 'Kleavor']",False,False,False,False,generation-i,Scyther
124,Jynx,Ice,Psychic,65,50,35,115,95,95,[],False,False,False,False,generation-i,Jynx
125,Electabuzz,Electric,,65,83,57,95,85,105,['Electivire'],False,False,False,False,generation-i,Electabuzz
126,Magmar,Fire,,65,95,57,100,85,93,['Magmortar'],False,False,False,False,generation-i,Magmar
127,Pinsir,Bug,,65,125,100,55,70,85,[],False,False,False,False,generation-i,Pinsir
10040,Pinsir-Mega,Bug,Flying,65,155,120,65,90,105,[],False,False,False,True,generation-i,Pinsir
128,Tauros,Normal,,75,100,95,40,70,110,[],False,False,False,False,generation-i,Tauros
10250,Tauros-Paldea-Combat-Breed,Fighting,,75,110,105,30,70,100,[],False,False,False,False,generation-i,Tauros
10251,Tauros-Paldea-Blaze-Breed,Fighting,Fire,75,110,105,30,70,100,[],False,False,False,False,generation-i,Tauros
10252,Tauros-Paldea-Aqua-Breed,Fighting,Water,75,110,105,30,70,100,[],False,False,False,False,generation-i,Tauros
129,Magikarp,Water,,20,10,55,15,20,80,['Gyarados'],False,False,False,False,generation-i,Magikarp
130,Gyarados,Water,Flying,95,125,79,60,100,81,[],False,False,False,False,generation-i,Gyarados
10041,Gyarados-Mega,Water,Dark,95,155,109,70,130,81,[],False,False,False,True,generation-i,Gyarados
131,Lapras,Water,Ice,130,85,80,85,95,60,[],False,False,False,False,generation-i,Lapras
10204,Lapras-Gmax,Water,Ice,130,85,80,85,95,60,[],False,False,False,False,generation-i,Lapras
132,Ditto,Normal,,48,48,48,48,48,48,[],False,False,False,False,generation-i,Ditto
133,Eevee,Normal,,55,55,50,45,65,55,"['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']",False,False,False,False,generation-i,Eevee
10159,Eevee-Starter,Normal,,65,75,70,65,85,75,"['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']",False,False,False,False,generation-i,Eevee
10205,Eevee-Gmax,Normal,,55,55,50,45,65,55,"['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']",False,False,False,False,generation-i,Eevee
134,Vaporeon,Water,,130,65,60,110,95,65,[],False,False,False,False,generation-i,Vaporeon
135,Jolteon,Electric,,65,65,60,110,95,130,[],False,False,False,False,generation-i,Jolteon
136,Flareon,Fire,,65,130,60,95,110,65,[],False,False,False,False,generation-i,Flareon
137,Porygon,Normal,,65,60,70,85,75,40,['Porygon2'],False,False,False,False,generation-i,Porygon
138,Omanyte,Rock,Water,35,40,100,90,55,35,['Omastar'],False,False,False,False,generation-i,Omanyte
139,Omastar,Rock,Water,70,60,125,115,70,55,[],False,False,False,False,generation-i,Omastar
140,Kabuto,Rock,Water,30,80,90,55,45,55,['Kabutops'],False,False,False,False,generation-i,Kabuto
141,Kabutops,Rock,Water,60,115,105,65,70,80,[],False,False,False,False,generation-i,Kabutops
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,[],False,False,False,False,generation-i,Aerodactyl
10042,Aerodactyl-Mega,Rock,Flying,80,135,85,70,95,150,[],False,False,False,True,generation-i,Aerodactyl
143,Snorlax,Normal,,160,110,65,65,110,30,[],False,False,False,False,generation-i,Snorlax
10206,Snorlax-Gmax,Normal,,160,110,65,65,110,30,[],False,False,False,False,generation-i,Snorlax
144,Articuno,Ice,Flying,90,85,100,95,125,85,[],False,True,False,False,generation-i,Articuno
10169,Articuno-Galar,Psychic,Flying,90,85,85,125,100,95,[],False,True,False,False,generation-i,Articuno
145,Zapdos,Electric,Flying,90,90,85,125,90,100,[],False,True,False,False,generation-i,Zapdos
10170,Zapdos-Galar,Fighting,Flying,90,125,90,85,90,100,[],False,True,False,False,generation-i,Zapdos
146,Moltres,Fire,Flying,90,100,90,125,85,90,[],False,True,False,False,generation-i,Moltres
10171,Moltres-Galar,Dark,Flying,90,85,90,100,125,90,[],False,True,False,False,generation-i,Moltres
147,Dratini,Dragon,,41,64,45,50,50,50,['Dragonair'],False,False,False,False,generation-i,Dratini
148,Dragonair,Dragon,,61,84,65,70,70,70,['Dragonite'],False,False,False,False,generation-i,Dragonair
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,[],False,False,False,False,generation-i,Dragonite
10281,Dragonite-Mega,Dragon,Flying,91,124,115,145,125,100,[],False,False,False,True,generation-i,Dragonite
150,Mewtwo,Psychic,,106,110,90,154,90,130,[],False,True,False,False,generation-i,Mewtwo
10043,Mewtwo-Mega-X,Psychic,Fighting,106,190,100,154,100,130,[],False,True,False,True,generation-i,Mewtwo
10044,Mewtwo-Mega-Y,Psychic,,106,150,70,194,120,140,[],False,True,False,True,generation-i,Mewtwo
151,Mew,Psychic,,100,100,100,100,100,100,[],False,False,True,False,generation-i,Mew
152,Chikorita,Grass,,45,49,65,49,65,45,['Bayleef'],False,False,False,False,generation-ii,Chikorita
153,Bayleef,Grass,,60,62,80,63,80,60,['Meganium'],False,False,False,False,generation-ii,Bayleef
154,Meganium,Grass,,80,82,100,83,100,80,[],False,False,False,True,generation-ii,Meganium
10282,Meganium-Mega,Grass,Fairy,80,92,115,143,115,80,[],False,False,False,True,generation-ii,Meganium
155,Cyndaquil,Fire,,39,52,43,60,50,65,['Quilava'],False,False,False,False,generation-ii,Cyndaquil
156,Quilava,Fire,,58,64,58,80,65,80,['Typhlosion'],False,False,False,False,generation-ii,Quilava
157,Typhlosion,Fire,,78,84,78,109,85,100,[],False,False,False,False,generation-ii,Typhlosion
10233,Typhlosion-Hisui,Fire,Ghost,73,84,78,119,85,95,[],False,False,False,False,generation-ii,Typhlosion
158,Totodile,Water,,50,65,64,44,48,43,['Croconaw'],False,False,False,False,generation-ii,Totodile
159,Croconaw,Water,,65,80,80,59,63,58,['Feraligatr'],False,False,False,False,generation-ii,Croconaw
160,Feraligatr,Water,,85,105,100,79,83,78,[],False,False,False,False,generation-ii,Feraligatr
10283,Feraligatr-Mega,Water,Dragon,85,160,125,89,93,78,[],False,False,False,True,generation-ii,Feraligatr
161,Sentret,Normal,,35,46,34,35,45,20,['Furret'],False,False,False,False,generation-ii,Sentret
162,Furret,Normal,,85,76,64,45,55,90,[],False,False,False,False,generation-ii,Furret
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,['Noctowl'],False,False,False,False,generation-ii,Hoothoot
164,Noctowl,Normal,Flying,100,50,50,86,96,70,[],False,False,False,False,generation-ii,Noctowl
165,Ledyba,Bug,Flying,40,20,30,40,80,55,['Ledian'],False,False,False,False,generation-ii,Ledyba
166,Ledian,Bug,Flying,55,35,50,55,110,85,[],False,False,False,False,generation-ii,Ledian
167,Spinarak,Bug,Poison,40,60,40,40,40,30,['Ariados'],False,False,False,False,generation-ii,Spinarak
168,Ariados,Bug,Poison,70,90,70,60,70,40,[],False,False,False,False,generation-ii,Ariados
169,Crobat,Poison,Flying,85,90,80,70,80,130,[],False,False,False,False,generation-ii,Crobat
170,Chinchou,Water,Electric,75,38,38,56,56,67,['Lanturn'],False,False,False,False,generation-ii,Chinchou
171,Lanturn,Water,Electric,125,58,58,76,76,67,[],False,False,False,False,generation-ii,Lanturn
